12466,石ころ,いしころ,ishikoro
12511,石畳,いしだたみ,ishidatami
12512,石段,いしだん,ishidan
12513,石橋,いしばし,ishibashi
12514,石綿,いしわた,ishiwata
12515,威信,いしん,ishin
12516,椅子,いす,isu
12521,以西,いせい,isei
12522,移籍,いせき,iseki
12523,移設,いせつ,isetsu
12524,緯線,いせん,isen
12525,以前,いぜん,izen
12526,磯,いそ,iso
12531,急ぎ足,いそぎあし,isogiashi
12532,磯松,いそまつ,isomatsu
12533,遺族,いぞく,izoku
12534,依存,いぞん,izon
12535,板,いた,ita
12536,遺体,いたい,itai
12541,板壁,いたかべ,itakabe
12542,委託,いたく,itaku
12543,致し方,いたしかた,itashikata
12544,いたち,いたち,itachi
12545,痛手,いたで,itade
12546,板の間,いたのま,itanoma
12551,板挟み,いたばさみ,itabasami
12552,板張り,いたばり,itabari
12553,板前,いたまえ,itamae
12554,異端,いたん,itan
12555,医大,いだい,idai
12556,韋駄天,いだてん,idaten
12561,位置,いち,ichi
12562,一案,いちあん,ichian
12563,一意,いちい,ichii
12564,一員,いちいん,ichiin
12565,一丸,いちがん,ichigan
12566,移築,いちく,ichiku
12611,一群,いちぐん,ichigun
12612,一撃,いちげき,ichigeki
12613,一言,いちげん,ichigen
12614,一期,いちご,ichigo
12615,一座,いちざ,ichiza
12616,一族,いちぞく,ichizoku
12621,一存,いちぞん,ichizon
12622,一団,いちだん,ichidan
12623,一読,いちどく,ichidoku
12624,一男,いちなん,ichinan
12625,一任,いちにん,ichinin
12626,一念,いちねん,ichinen
12631,市場,いちば,ichiba
12632,一部,いちぶ,ichibu
12633,一部分,いちぶぶん,ichibubun
12634,一抹,いちまつ,ichimatsu
12635,一味,いちみ,ichimi
12636,一命,いちめい,ichimei
12641,一目,いちもく,ichimoku
12642,一門,いちもん,ichimon
12643,一夜,いちや,ichiya
12644,一翼,いちよく,ichiyoku
12645,一覧,いちらん,ichiran
12646,一理,いちり,ichiri
12651,一礼,いちれい,ichirei
12652,いつ,いつ,itsu
12653,何時頃,いつごろ,itsugoro
12654,逸材,いつざい,itsuzai
12655,逸脱,いつだつ,itsudatsu
12656,逸話,いつわ,itsuwa
12661,移転,いてん,iten
12662,出で立ち,いでたち,idetachi
12663,遺伝,いでん,iden
12664,遺伝子,いでんし,idenshi
12665,意図,いと,ito
12666,威徳,いとく,itoku
13111,糸口,いとぐち,itoguchi
13112,従兄弟,いとこ,itoko
13113,糸偏,いとへん,itohen
13114,いとま,いとま,itoma
13115,暇乞い,いとまごい,itomagoi
13116,糸目,いとめ,itome
13121,井戸,いど,ido
13122,居所,いどころ,idokoro
13123,井戸端,いどばた,idobata
13124,否,いな,ina
13125,以内,いない,inai
13126,田舎,いなか,inaka
13131,稲子,いなご,inago
13132,稲作,いなさく,inasaku
13133,稲束,いなたば,inataba
13134,稲田,いなだ,inada
13135,稲光,いなびかり,inabikari
13136,稲穂,いなほ,inaho
13141,稲叢,いなむら,inamura
13142,稲荷,いなり,inari
13143,以南,いなん,inan
13144,古,いにしえ,inishie
13145,委任,いにん,inin
13146,戌,いぬ,inu
13151,犬橇,いぬぞり,inuzori
13152,稲,いね,ine
13153,稲刈り,いねかり,inekari
13154,稲扱き,いねこき,inekoki
13155,猪,いのしし,inoshishi
13156,命,いのち,inochi
13161,命掛け,いのちがけ,inochigake
13162,命乞い,いのちごい,inochigoi
